order_id,date,day_name_es,month,ticket,n_items,n_pizzas
1,2015-01-01,Jueves,1,13.25,1,1
2,2015-01-01,Jueves,1,92.0,5,5
3,2015-01-01,Jueves,1,37.25,2,2
4,2015-01-01,Jueves,1,16.5,1,1
5,2015-01-01,Jueves,1,16.5,1,1
6,2015-01-01,Jueves,1,24.75,2,2
7,2015-01-01,Jueves,1,12.5,1,1
8,2015-01-01,Jueves,1,12.5,1,1
9,2015-01-01,Jueves,1,143.25,9,9
10,2015-01-01,Jueves,1,41.0,2,2
11,2015-01-01,Jueves,1,73.5,4,4
12,2015-01-01,Jueves,1,70.75,4,4
13,2015-01-01,Jueves,1,20.25,1,1
14,2015-01-01,Jueves,1,12.0,1,1
15,2015-01-01,Jueves,1,63.25,4,4
16,2015-01-01,Jueves,1,50.7,3,3
17,2015-01-01,Jueves,1,184.5,10,11
18,2015-01-01,Jueves,1,20.5,1,1
19,2015-01-01,Jueves,1,40.75,2,2
20,2015-01-01,Jueves,1,30.5,2,2
21,2015-01-01,Jueves,1,20.5,1,1
22,2015-01-01,Jueves,1,55.25,3,3
23,2015-01-01,Jueves,1,12.75,1,1
24,2015-01-01,Jueves,1,57.75,4,4
25,2015-01-01,Jueves,1,37.0,2,2
26,2015-01-01,Jueves,1,32.25,2,2
27,2015-01-01,Jueves,1,57.0,3,3
28,2015-01-01,Jueves,1,12.75,1,1
29,2015-01-01,Jueves,1,12.0,1,1
30,2015-01-01,Jueves,1,20.75,1,1
31,2015-01-01,Jueves,1,25.75,2,2
32,2015-01-01,Jueves,1,69.25,4,4
33,2015-01-01,Jueves,1,32.75,2,2
34,2015-01-01,Jueves,1,12.0,1,1
35,2015-01-01,Jueves,1,66.75,4,4
36,2015-01-01,Jueves,1,32.75,2,2
37,2015-01-01,Jueves,1,41.0,2,2
38,2015-01-01,Jueves,1,31.0,2,2
39,2015-01-01,Jueves,1,20.75,1,1
40,2015-01-01,Jueves,1,30.7,2,2
41,2015-01-01,Jueves,1,26.75,2,2
42,2015-01-01,Jueves,1,67.25,4,4
43,2015-01-01,Jueves,1,54.0,3,3
44,2015-01-01,Jueves,1,12.5,1,1
45,2015-01-01,Jueves,1,45.2,3,3
46,2015-01-01,Jueves,1,58.0,3,3
47,2015-01-01,Jueves,1,32.75,2,2
48,2015-01-01,Jueves,1,70.25,4,4
49,2015-01-01,Jueves,1,20.25,1,1
50,2015-01-01,Jueves,1,25.5,1,1
51,2015-01-01,Jueves,1,38.25,2,2
52,2015-01-01,Jueves,1,57.5,3,3
53,2015-01-01,Jueves,1,27.5,2,2
54,2015-01-01,Jueves,1,37.25,2,2
55,2015-01-01,Jueves,1,33.25,2,2
56,2015-01-01,Jueves,1,53.0,3,3
57,2015-01-01,Jueves,1,16.0,1,1
58,2015-01-01,Jueves,1,31.0,2,2
59,2015-01-01,Jueves,1,39.0,3,3
60,2015-01-01,Jueves,1,35.5,2,2
61,2015-01-01,Jueves,1,37.5,2,2
62,2015-01-01,Jueves,1,33.25,2,2
63,2015-01-01,Jueves,1,14.5,1,1
64,2015-01-01,Jueves,1,12.0,1,1
65,2015-01-01,Jueves,1,52.25,4,4
66,2015-01-01,Jueves,1,32.0,2,2
67,2015-01-01,Jueves,1,20.75,1,1
68,2015-01-01,Jueves,1,53.25,3,3
69,2015-01-01,Jueves,1,20.75,1,1
70,2015-01-02,Viernes,1,33.5,2,2
71,2015-01-02,Viernes,1,20.75,1,1
72,2015-01-02,Viernes,1,20.25,1,1
73,2015-01-02,Viernes,1,12.75,1,1
74,2015-01-02,Viernes,1,72.0,4,4
75,2015-01-02,Viernes,1,53.25,3,3
76,2015-01-02,Viernes,1,70.25,4,4
77,2015-01-02,Viernes,1,30.0,2,2
78,2015-01-02,Viernes,1,132.95,6,8
79,2015-01-02,Viernes,1,52.25,3,3
80,2015-01-02,Viernes,1,26.5,2,2
81,2015-01-02,Viernes,1,20.75,1,1
82,2015-01-02,Viernes,1,65.5,4,4
83,2015-01-02,Viernes,1,12.75,1,1
84,2015-01-02,Viernes,1,15.25,1,1
85,2015-01-02,Viernes,1,64.75,4,4
86,2015-01-02,Viernes,1,16.5,1,1
87,2015-01-02,Viernes,1,65.25,4,4
88,2015-01-02,Viernes,1,18.5,1,1
89,2015-01-02,Viernes,1,41.5,2,2
90,2015-01-02,Viernes,1,33.0,2,2
91,2015-01-02,Viernes,1,64.0,3,4
92,2015-01-02,Viernes,1,152.25,9,10
93,2015-01-02,Viernes,1,16.25,1,1
94,2015-01-02,Viernes,1,28.75,2,2
95,2015-01-02,Viernes,1,32.75,2,2
96,2015-01-02,Viernes,1,12.0,1,1
97,2015-01-02,Viernes,1,12.0,1,1
98,2015-01-02,Viernes,1,41.0,2,2
99,2015-01-02,Viernes,1,20.75,1,1
100,2015-01-02,Viernes,1,16.5,1,1
101,2015-01-02,Viernes,1,73.25,4,4
102,2015-01-02,Viernes,1,25.25,2,2
103,2015-01-02,Viernes,1,12.5,1,1
104,2015-01-02,Viernes,1,70.5,4,4
105,2015-01-02,Viernes,1,52.75,3,4
106,2015-01-02,Viernes,1,41.0,2,2
107,2015-01-02,Viernes,1,78.25,4,4
108,2015-01-02,Viernes,1,57.75,3,3
109,2015-01-02,Viernes,1,74.5,4,4
110,2015-01-02,Viernes,1,65.75,4,4
111,2015-01-02,Viernes,1,68.5,4,4
112,2015-01-02,Viernes,1,9.75,1,1
113,2015-01-02,Viernes,1,57.75,3,3
114,2015-01-02,Viernes,1,27.5,2,2
115,2015-01-02,Viernes,1,49.25,3,3
116,2015-01-02,Viernes,1,18.5,1,1
117,2015-01-02,Viernes,1,36.75,2,2
118,2015-01-02,Viernes,1,32.75,2,2
119,2015-01-02,Viernes,1,14.75,1,1
120,2015-01-02,Viernes,1,42.75,3,3
121,2015-01-02,Viernes,1,75.7,4,4
122,2015-01-02,Viernes,1,16.5,1,1
123,2015-01-02,Viernes,1,12.0,1,1
124,2015-01-02,Viernes,1,65.75,4,4
125,2015-01-02,Viernes,1,25.5,1,1
126,2015-01-02,Viernes,1,20.25,1,1
127,2015-01-02,Viernes,1,12.5,1,1
128,2015-01-02,Viernes,1,12.5,1,1
129,2015-01-02,Viernes,1,28.0,2,2
130,2015-01-02,Viernes,1,59.75,4,4
131,2015-01-02,Viernes,1,63.75,4,4
132,2015-01-02,Viernes,1,9.75,1,1
133,2015-01-02,Viernes,1,49.25,3,3
134,2015-01-02,Viernes,1,45.25,3,3
135,2015-01-02,Viernes,1,20.25,1,1
136,2015-01-02,Viernes,1,31.0,2,2
137,2015-01-03,Sábado,1,46.5,3,3
138,2015-01-03,Sábado,1,71.95,4,4
139,2015-01-03,Sábado,1,18.5,1,1
140,2015-01-03,Sábado,1,28.5,2,2
141,2015-01-03,Sábado,1,16.0,1,1
142,2015-01-03,Sábado,1,16.0,1,1
143,2015-01-03,Sábado,1,121.75,8,8
144,2015-01-03,Sábado,1,238.45,12,14
145,2015-01-03,Sábado,1,12.0,1,1
146,2015-01-03,Sábado,1,48.75,3,3
147,2015-01-03,Sábado,1,25.5,1,1
148,2015-01-03,Sábado,1,12.0,1,1
149,2015-01-03,Sábado,1,16.0,1,1
150,2015-01-03,Sábado,1,12.5,1,1
151,2015-01-03,Sábado,1,33.25,2,2
152,2015-01-03,Sábado,1,59.5,4,4
153,2015-01-03,Sábado,1,16.0,1,1
